,label,neuron_12,neuron_11,neuron_10,neuron_9,neuron_8,neuron_7,neuron_6,neuron_5,neuron_4,neuron_3,neuron_2,neuron_1
0,5,18,1,3,27,51,48,33,4,31,41,46,23
1,0,25,18,49,7,54,45,9,4,13,31,58,22
2,4,59,19,38,2,7,14,8,35,26,18,32,24
3,1,13,43,50,7,27,35,16,37,2,34,39,48
4,9,11,36,41,4,59,7,6,0,50,58,29,30
5,2,23,21,41,33,2,20,55,14,58,8,29,49
6,1,57,52,11,51,5,30,47,32,24,0,17,40
7,3,25,19,8,31,12,38,10,47,18,3,4,23
8,1,51,47,16,5,59,28,50,32,0,17,30,40
9,4,45,37,35,7,2,33,36,19,5,8,34,32
10,3,33,1,31,3,55,51,17,21,27,5,47,18
11,5,37,16,33,45,28,50,13,2,20,59,57,1
12,3,12,55,47,4,51,3,21,44,17,43,2,25
13,6,59,12,20,57,19,31,17,35,42,15,33,58
14,1,5,51,17,26,13,30,47,11,32,36,50,40
15,7,12,37,0,29,3,36,8,51,6,54,7,34
16,2,38,43,47,8,45,27,55,49,54,33,21,10
17,8,13,48,34,7,58,6,33,0,50,23,41,55
18,6,11,35,58,52,13,55,15,19,18,25,42,5
19,9,52,51,55,36,3,21,7,6,50,5,0,34
20,4,12,25,8,43,37,2,41,44,35,38,7,26
21,0,29,13,4,54,16,12,45,25,58,7,31,22
22,9,11,41,0,55,2,42,8,7,50,5,36,34
23,1,33,7,41,50,43,6,35,2,37,34,39,48
24,1,27,5,39,54,58,53,1,7,56,20,51,17
25,2,35,41,18,55,38,13,43,10,25,47,12,56
26,4,35,6,18,0,3,42,39,10,27,37,36,30
27,3,38,18,44,43,51,25,4,55,12,23,47,3
28,2,50,39,55,38,51,11,9,21,45,54,12,47
29,7,33,34,57,32,20,50,37,54,2,7,51,39
30,3,11,32,59,55,50,15,17,47,3,26,14,27
31,8,4,29,19,7,5,55,13,50,0,33,47,23
32,6,45,11,5,58,53,55,57,27,9,35,42,15
33,9,2,58,55,3,7,49,5,6,0,51,33,34
34,0,47,53,55,58,45,7,9,5,12,18,52,23
35,5,5,50,59,0,47,37,3,33,53,1,20,6
36,6,27,17,52,26,41,5,12,55,9,11,58,15
37,0,53,9,52,33,58,7,31,45,13,5,18,12
38,7,21,55,32,44,17,24,38,47,30,27,54,14
39,6,17,55,21,57,19,5,8,42,15,53,58,52
40,1,30,0,16,26,51,47,50,11,36,17,40,28
41,8,18,31,1,33,23,0,39,52,55,41,58,48
42,7,16,54,3,6,0,29,7,14,17,50,30,36
43,9,7,21,1,3,0,51,50,27,55,58,36,34
44,3,4,55,48,39,2,38,17,47,6,11,16,44
45,9,11,4,7,21,0,30,18,58,41,6,29,36
46,8,18,27,12,21,41,2,10,52,0,16,44,39
47,5,3,39,1,5,16,8,4,0,37,33,42,6
48,9,53,55,4,2,51,32,46,17,18,1,11,52
49,3,47,25,41,55,31,18,3,12,4,51,1,23
50,3,55,52,5,13,31,51,53,17,37,25,43,18
51,0,13,3,58,9,54,45,4,25,29,12,44,22
52,7,22,54,51,12,21,9,11,57,14,45,18,30
53,4,33,55,28,7,11,2,6,37,50,5,27,34
54,9,39,18,11,0,6,32,57,38,30,3,36,19
55,8,41,42,6,7,44,10,55,51,58,0,39,23
56,0,29,16,25,21,59,13,9,54,2,12,22,50
57,9,3,8,4,39,21,41,6,7,29,42,36,34
58,4,18,27,21,38,7,3,10,41,43,37,12,24
59,1,28,13,49,25,2,34,16,7,37,27,39,48
60,4,32,49,19,2,14,44,37,35,48,26,9,38
61,4,50,7,2,41,6,25,20,39,37,35,5,34
62,6,19,31,12,8,27,46,11,7,5,58,25,52
63,0,21,13,53,7,12,58,31,25,23,44,4,22
64,4,12,42,35,9,10,57,46,19,54,58,32,45
65,5,43,0,33,59,16,13,50,35,20,2,28,57
66,6,17,19,58,31,59,7,33,18,13,52,5,15
67,1,43,37,13,16,39,40,47,2,11,48,28,34
68,0,51,2,37,9,43,56,59,22,16,38,18,50
69,0,8,44,22,13,58,18,53,21,25,45,52,12
70,1,51,9,46,17,56,52,57,31,47,13,11,40
71,7,50,45,49,3,57,54,2,33,7,37,51,34
72,1,5,47,32,51,34,17,57,50,11,28,36,40
73,6,21,42,55,19,31,7,58,52,33,5,13,15
74,3,46,47,12,39,3,53,52,57,1,18,44,17
75,0,7,18,4,45,44,13,53,25,23,22,12,5
76,2,41,39,13,27,56,55,25,50,21,47,16,43
77,1,23,37,16,47,13,2,7,27,34,28,39,48
78,1,50,56,49,48,47,33,37,51,39,27,28,34
79,7,49,56,50,0,37,2,6,54,7,33,51,34
80,9,2,18,19,37,21,22,59,53,13,35,25,52
81,0,9,4,8,22,25,13,45,53,58,18,23,12
82,2,45,43,55,42,38,31,8,47,21,10,9,12
83,6,21,52,33,49,19,13,31,15,5,58,59,42
84,7,54,45,53,3,18,47,8,36,6,38,14,30
85,8,33,1,18,47,41,55,58,48,35,44,0,23
86,3,36,55,51,11,26,6,4,50,32,17,53,2
87,9,12,11,0,8,23,58,52,4,7,6,36,34
88,0,56,2,12,44,50,54,9,40,21,25,13,22
89,4,29,35,46,57,45,58,8,4,36,19,32,34
90,6,35,27,13,29,19,52,54,9,42,31,58,15
91,7,53,36,32,49,3,37,57,33,7,45,51,34
92,4,29,11,41,4,10,52,20,35,18,8,37,24
93,6,49,59,12,42,15,31,13,17,19,5,52,58
94,8,10,41,19,55,8,52,50,58,51,0,23,39
95,0,52,21,22,25,45,53,31,8,13,18,58,12
96,7,30,51,55,3,7,54,0,29,50,6,14,36
97,8,44,52,10,8,33,41,39,48,58,55,0,23
98,3,23,3,46,11,52,1,47,53,43,17,18,44
99,1,38,39,50,7,42,51,2,37,27,48,34,28
100,5,7,58,39,16,11,13,45,55,0,20,46,24
101,7,6,54,3,37,30,32,7,57,18,45,51,36
102,1,9,5,57,47,17,26,11,13,28,50,36,40
103,7,37,54,53,7,45,8,51,6,29,34,14,36
104,1,16,52,5,51,19,35,9,24,30,0,32,40
105,1,13,16,33,11,34,2,27,39,47,7,48,28
106,6,31,35,9,27,29,10,41,18,58,25,15,52
107,3,29,38,10,35,41,43,47,4,3,55,31,18
108,0,46,48,54,18,22,9,43,38,16,56,59,50
109,2,9,15,27,17,33,6,26,20,32,49,53,16
110,9,2,11,4,20,58,10,21,41,18,29,26,24
111,3,8,47,6,23,19,25,4,12,2,38,3,44
112,1,0,59,51,16,47,36,30,50,26,17,40,28
113,1,43,50,56,49,2,20,33,7,27,39,28,48
114,0,3,6,7,54,29,25,9,31,56,12,16,22
115,4,3,41,37,7,58,19,4,35,34,8,32,36
116,9,12,44,4,11,7,24,8,18,6,21,29,30
117,2,6,16,38,41,53,59,13,56,23,12,47,49
118,0,59,16,2,54,45,9,52,19,22,13,25,58
119,0,5,3,33,54,16,4,12,58,45,7,22,31
120,2,3,14,55,47,53,51,45,38,11,21,23,12
121,0,19,50,54,25,53,38,56,48,46,12,22,16
122,2,20,47,28,31,21,5,10,42,27,55,37,56
123,7,39,57,54,29,3,49,7,45,51,14,33,34
124,1,29,51,50,11,13,2,17,57,34,36,40,28
125,8,41,55,18,46,0,39,33,58,23,16,52,48
126,6,26,25,11,41,9,35,1,58,52,15,19,42
127,4,47,43,7,2,19,37,53,57,33,5,34,32
128,1,50,16,5,26,58,30,0,40,11,28,47,17
129,6,41,55,27,58,19,31,12,5,15,33,52,7
130,3,23,3,43,18,48,21,1,16,6,51,47,4
131,4,12,41,33,6,8,2,5,7,58,19,32,34
132,5,52,57,51,3,33,5,1,0,4,47,40,17
133,9,51,58,21,53,3,30,7,6,55,0,5,36
134,1,46,6,41,32,17,51,4,37,20,55,26,19
135,3,0,1,41,33,35,10,43,55,47,31,4,3
136,3,55,18,1,3,57,47,43,44,25,17,11,2
137,8,52,33,51,50,41,0,23,48,47,58,39,34
138,5,41,12,54,59,58,47,19,46,27,53,48,25
139,4,58,11,8,41,54,52,37,7,34,36,5,35
140,7,42,51,5,57,0,54,53,4,38,43,17,34
141,7,0,56,6,50,7,20,37,2,39,33,34,51
142,4,19,41,6,30,26,42,32,4,37,35,10,36
143,2,41,55,29,38,21,26,23,20,48,14,13,49
144,8,1,51,16,37,19,10,39,55,35,48,11,2
145,5,6,7,20,50,33,59,16,0,45,37,1,57
146,8,46,31,49,50,56,42,10,33,55,19,35,0
147,6,57,35,12,19,55,33,8,52,11,5,58,15
148,7,10,55,34,35,42,54,8,4,58,21,27,36
149,3,18,38,35,3,41,4,12,2,47,25,43,44
150,4,4,54,12,5,58,30,27,16,7,26,36,17
151,6,19,53,54,27,9,42,5,59,33,52,58,15
152,1,33,16,29,36,50,51,47,57,17,11,40,28
153,9,1,27,6,7,0,55,58,36,3,50,42,34
154,9,59,10,6,45,19,44,11,57,3,53,18,30
155,6,8,17,12,31,19,33,59,7,58,52,5,15
156,0,10,48,9,14,3,38,46,6,31,29,22,16
157,3,38,5,35,4,55,47,19,33,41,18,31,3
158,7,57,25,35,7,53,19,22,37,34,2,13,26
159,2,47,12,8,48,56,14,20,13,55,38,23,49
160,8,31,41,52,59,32,55,10,58,35,51,11,1
161,2,12,1,50,16,10,13,55,25,29,41,47,56
162,9,11,41,8,3,21,39,57,24,29,0,10,30
163,4,11,58,50,20,33,2,7,35,37,5,32,34
164,4,21,20,25,6,2,8,43,12,38,37,24,26
165,6,27,12,7,17,13,33,19,5,52,31,58,15
166,4,26,8,30,4,58,0,52,50,41,42,36,35
167,9,39,29,52,3,4,23,7,8,18,6,34,36
168,7,51,50,23,21,0,41,6,12,48,36,39,47
169,0,5,8,31,13,45,53,21,52,25,58,18,12
170,9,57,58,0,11,41,21,44,6,18,29,24,30
171,2,21,55,42,6,13,38,47,12,10,23,56,49
172,9,12,35,45,11,6,7,36,32,53,3,18,30
173,5,33,16,7,0,28,2,59,57,1,50,47,20
174,1,29,47,7,59,51,11,26,50,40,17,36,28
175,5,31,37,6,7,5,16,0,47,33,57,59,1
176,9,53,59,39,27,17,1,3,58,6,0,24,30
177,1,43,0,37,48,50,51,7,47,39,28,27,34
178,2,31,5,8,9,38,46,4,29,33,7,45,19
179,3,44,19,10,18,31,55,47,23,38,46,25,3
180,2,27,38,59,1,5,56,28,50,54,11,57,17
181,3,18,9,39,44,4,46,14,3,29,38,55,23
182,5,19,12,48,54,13,51,46,55,53,27,52,25
183,9,4,52,23,0,34,21,8,3,41,6,29,36
184,1,52,59,11,16,51,50,47,0,17,30,32,40
185,7,36,3,37,12,32,33,23,57,7,45,34,51
186,6,55,56,35,13,27,26,50,11,10,15,32,42
187,2,1,27,59,13,16,12,47,5,53,43,49,56
188,8,24,20,9,42,55,44,52,12,2,10,8,39
189,2,26,12,16,21,59,6,53,20,23,13,14,49
190,2,58,27,17,48,29,16,5,31,15,26,47,56
191,5,59,43,28,5,33,37,0,16,35,1,45,57
192,0,54,45,42,12,10,31,25,9,22,59,58,13
193,7,6,36,33,54,3,32,7,37,45,57,51,34
